account_id,customer-id,card_number,account_type,account_tier,account_standing
7d28bba4-c14c-470d-80fd-8066f1d7cbe8,02716816-c849-45a7-a27d-9abca97fa93a,5208-0272-3184-5035,credit,silver,red
5800d0f6-e384-42e9-9a22-555ae3ba292b,ecc1e31c-1cca-4fba-b424-8ed63095caaf,5188-6083-8011-0307,debit,bronze,red
69b7a7c9-624c-462b-8240-2cc95dce03ef,6ecdef6d-7d22-43c5-86f6-e404f621780a,5588-6461-5550-9705,credit,platinum,green
ceee419f-eb82-42b9-bfe5-450577443676,575e8294-4fe4-48bf-8eba-e5dea1501231,5355-1146-6709-2158,debit,gold,yellow
ecd99f45-c46c-452a-917c-3d5bebc25203,75b74d88-28f5-4101-adeb-0ddfd678c9c8,5395-0948-5958-5718,debit,gold,green
6ee3e5f2-7963-43b2-b0d5-f4296b7f0979,9448c1b0-378d-4d91-b98e-8513d3025116,5248-1233-6945-8691,credit,silver,red
0fcd6167-bbe8-4d0f-bad5-255dcc3e20ac,0038b5b8-19c4-456c-9fc0-8e9e13f4ebf6,5117-8653-7457-0187,credit,gold,green
10fe4174-4239-4188-9346-2c55a29961b3,529e13e9-0fbf-45a3-a69c-42ceb0d9fffa,5267-8903-3511-6183,debit,silver,red
cf9274e7-8dd4-4803-8f14-cc8001f1e148,93ab655b-a874-4c54-9538-dab53e56667b,5341-4936-4651-9656,credit,gold,red
037720af-c617-44e2-9193-32c230343c68,cdb047a8-4763-488d-9787-620f7bc98db2,5224-9182-0025-8475,debit,silver,green
3aa6ed8d-2063-46cd-b7e5-076b92733b02,ed205d6c-85fb-4037-a1dc-2ae18acb052d,5412-7429-6684-4050,credit,silver,red
5ade2bf6-73d8-4664-a30a-4e7915f7c33f,09f4e51c-6306-44d4-932d-7068b5ad3bf8,5388-0450-7896-1667,debit,gold,red
8d92f9cb-5751-403a-8339-bce1aa1a4a84,0fb9fd50-01ff-4331-8104-c1ca5a2fc8c8,5390-0206-5657-3289,credit,platinum,green
9a059408-f535-43ed-b12d-716bbe5094dd,c3220660-bd1d-4c8c-9f90-0317e44e5977,5249-8746-9856-0628,credit,platinum,yellow
d9e0d64a-4eff-4fe7-9a57-954a09bb2bfc,026fb22a-e6af-4eb5-b4d0-c557f7e7c6f9,5300-8366-4867-4094,credit,bronze,red
93e28a07-0da4-4dfa-b1e7-392d7a19052b,180960e4-d654-444a-853e-bd0b9c450fcd,5228-3982-6893-7888,debit,bronze,yellow
212ed9f6-7656-4885-9b64-590e84a6eed8,f081d4b6-ae54-4f66-952d-0e3a1276f1c8,5573-6138-4957-4724,debit,gold,green
415bcb46-2f49-4546-9501-e06395b09805,cdf5a003-27a4-4629-a43c-e8c2a398dace,5395-1014-6867-3734,credit,platinum,yellow
04fd4e67-f9a7-48e8-bde3-eb97d9669101,bf66bd65-64ba-4412-8c1d-c21fea4020f3,5535-7016-9320-7157,debit,bronze,yellow
c4a7b340-babf-4531-9e4b-54bfe6872bc6,aac7f7b9-20aa-4c16-8aa0-963cbb12bc5c,5129-5881-3885-8591,credit,bronze,green
d7a2ce99-586f-437c-b29d-99377a97cd53,fe0e8bc6-640a-4ac4-8c00-845ba4b10976,5113-5726-5923-8985,debit,bronze,yellow
4d9b9e68-0954-493c-b8c3-08ce0360948d,bd46ea66-d312-4637-8057-5ff1e9f3279d,5204-9950-9714-9813,credit,bronze,green
a358cd37-c184-4e55-b55a-c75e3403e0a9,eb3552d7-14bc-4c1d-8fbb-d351bfe31823,5476-9649-6111-4544,credit,bronze,yellow
5b9deea8-3126-419c-ab8d-74d98680f72c,7dcd0f69-bfbe-4a6f-a488-a6495852fc42,5240-4499-8729-6207,debit,gold,red
